"Band","Peuk1","Peuk2","Peuk3","Pro_border1","Pro_border2","Pro_border3","Pro_gyre1","Pro_gyre2","Pro_gyre3","Pro_gyre4","Syn1","Syn2"
"420",1.7648589166363,1.39165618231004,1.34603417936576,1.62554614371352,1.56261519207079,1.6645531841284,1.97697512314779,2.01839681784638,2.03861240826387,1.88676574228166,1.46969539711935,1.41348102675874
"422",1.69832742664381,1.39259479866033,1.36446658398887,1.62606523702941,1.57097833745129,1.65592497925712,1.9591686629677,2.00130397168367,2.01158212074714,1.86558790135048,1.43160552723443,1.39602154517221
"424",1.65463060397433,1.34695646837053,1.36152342127923,1.60581967455546,1.55922953359567,1.6349214319751,1.92209718278311,1.96412295321793,1.9584676342164,1.82859505648254,1.39869005788625,1.39376440211955
"426",1.57897664571171,1.30978448723436,1.30909057165376,1.58669478709641,1.54306078419607,1.61700014503661,1.8850417617062,1.92218815518054,1.9076117382839,1.78840214977058,1.37810361124591,1.37137807097094
"428",1.5274709496604,1.30760328895447,1.24887514209542,1.57410664691218,1.53370858562638,1.60332179765322,1.85443829693717,1.88419826492334,1.86826205714097,1.75840792577332,1.35756298290861,1.33836891308126
"430",1.5073439366268,1.31591949050647,1.20364440775359,1.56152324437887,1.52851815385683,1.58944034535962,1.82371409602171,1.84684783824926,1.83212116182925,1.73473515069054,1.32351940850062,1.30274712532549
"432",1.48712483186647,1.29915253551716,1.17362863600491,1.54157951814745,1.51927466347792,1.57100556408946,1.78567385008496,1.80499600163354,1.78913383910956,1.70710068351783,1.27215309599746,1.26439225417269
"434",1.43429756579663,1.24117272042805,1.14729793939823,1.51083309137416,1.49920816694559,1.54450498264949,1.73620622139175,1.75424603810802,1.73214827002735,1.66637507921977,1.20922541451497,1.21891895773094
"436",1.34186914389365,1.15290905398556,1.11547393328733,1.47056775737586,1.4665034415214,1.50793593708677,1.67532536512207,1.6927998558095,1.65936695779603,1.60954237691228,1.14560255447616,1.16454529110011
"438",1.22987888251179,1.06219732628045,1.07713978029152,1.42507478370937,1.42402532802267,1.46149427901367,1.60602070145552,1.62164432625364,1.57413501110504,1.54001582918781,1.0923108663272,1.10575446803739
