"Band","Peuk1","Peuk2","Peuk3","Pro_border1","Pro_border2","Pro_border3","Pro_gyre1","Pro_gyre2","Pro_gyre3","Pro_gyre4","Syn1","Syn2"
"414",0.00355129125629188,0.00465943046360708,0.004640476,0.00911270150573919,0.00813027836532601,0.00951359657802027,0.0162737103641851,0.0179907058032014,0.013516866,0.012196046,0.00486496461009675,0.00463045129543264
"416",0.00348807321194686,0.00457009386197879,0.004541663,0.00905198077929495,0.00809479394293386,0.00943625081549187,0.0161690510380927,0.0178750589572173,0.013301317,0.012064213,0.00478889664110786,0.00453362707363157
"418",0.00339689101074164,0.00447843224741807,0.004473248,0.00900498155763463,0.00806198768019049,0.00934655086577746,0.0160277137822751,0.01769785096862,0.013102637,0.011975582,0.00473605342818055,0.00446109481953252
"420",0.00332055881044024,0.00444589423395006,0.004466711,0.00898265312262081,0.00805885294260282,0.00929520650192252,0.0158993099938093,0.0175622173793124,0.012955595,0.011871014,0.00467738765891872,0.00441643110696984
"422",0.00324700836206655,0.00443162051458784,0.004482002,0.00896892363955319,0.00806639942931492,0.00925878438899098,0.015775426622447,0.0174387785364098,0.012826972,0.011765217,0.00462016025110577,0.00438309776847938
"424",0.00323319809475526,0.00439247543396838,0.00446926,0.0089250149569383,0.00804711676418767,0.0092016142137104,0.0156122578018283,0.017245120653658,0.012625303,0.011641942,0.00458128783590914,0.00438389045065905
"426",0.0031864060351566,0.00435100623173547,0.004424084,0.00887061708575307,0.00800849448397096,0.0091467626792574,0.0154325836827268,0.0170286924048352,0.012425921,0.011499687,0.00454716483221677,0.00435828620542442
"428",0.00308748808578229,0.004298598003041,0.004319194,0.00879294346880269,0.00793537058750288,0.0090881702143521,0.0152069854396523,0.016761310164686,0.012219268,0.011334918,0.0045229820853584,0.0042936010287908
"430",0.00311186481448585,0.00434565283977555,0.004290491,0.00879015043475399,0.00795683959596455,0.00907140720427669,0.0150876141241213,0.0165879671178389,0.012121053,0.011288922,0.0044866125141354,0.00427511819009942
"432",0.00313053339813692,0.00437211115310041,0.004243143,0.00876393073535074,0.00796852125830708,0.00901033338201243,0.0149435065102538,0.0163869968813347,0.011982385,0.011199577,0.00440381018741644,0.00422461977803797
"434",0.00307457450095204,0.00423666304833653,0.004206673,0.00862875050017004,0.0078627675779089,0.00892102549290929,0.0146543858566911,0.0160768859123622,0.011682335,0.011032352,0.004323700108031,0.00415216994256749
"436",0.00297713530434763,0.00411227494170555,0.004157516,0.00849339196513217,0.00775309454366693,0.00880218018850987,0.0143175145267411,0.0157184474578387,0.011367053,0.010800151,0.00423934167306459,0.00407217999731934
"438",0.00285729991654073,0.00403874558432404,0.004141305,0.00838662979801819,0.00766729669837448,0.00867772427650136,0.0139535795836219,0.0153257003080594,0.011080705,0.010526093,0.00418558129638946,0.00401675162178089
"440",0.00282839488993191,0.00396124056821928,0.004074407,0.008254655248149,0.00753756894191134,0.00850439759250185,0.0135730408969299,0.0148791829211467,0.010710554,0.010250528,0.00411999609280893,0.00394483037622233
"442",0.00283857446267372,0.0039079758755767,0.004008569,0.00812801885197006,0.00740723945863363,0.00833601626930862,0.0132121147694901,0.014444139826609,0.010340993,0.010003624,0.00406872055854055,0.00389104229166786
"444",0.00275523425368135,0.0038944539737372,0.004000309,0.0079748432709883,0.00725215199934667,0.00815134516552761,0.0127787334125409,0.0139310401049903,0.009909963,0.009698888,0.00408595150801423,0.00386419120836593
"446",0.00269599917971308,0.00387646315671512,0.003968939,0.00781615548842598,0.00710044735606888,0.00795934053314207,0.0123137423586031,0.0134030506051825,0.009521672,0.009377753,0.00406398412282208,0.00383289224089248
"448",0.00270623133578139,0.00388994679539588,0.003936992,0.00767988798460668,0.00698093622978166,0.00780072128824394,0.0118417028223366,0.0128774127457835,0.009255947,0.009093596,0.00402449545594231,0.0038457893112471
"450",0.00268463857906272,0.0038395605321445,0.003897755,0.00754486613858819,0.00685348181155067,0.00766521614909185,0.0114393934698504,0.012441013316424,0.008977329,0.008854215,0.00398240404100785,0.00384867859235052
"452",0.00266504542383867,0.00378685122636499,0.003868258,0.00742331711939491,0.006737962186685,0.00755651516682372,0.0110891619856785,0.0120665743014902,0.00871337,0.008647466,0.00394352874855894,0.00385388712341716
