"Band","NH01","NH02","NH03","NH04","NH05","NH06","NH07","NH08","NH09","NH10","NH11","NH12","NH13","NH14","AE01","AE02","AE03","AE04","AE05","AE06","AE07","AE08","AE09","AE10","AE11","AE12","AE12b"
"420",3.15477962978144,3.15473649693057,3.11669385188853,3.20582131330217,3.06627213347953,2.977654809619,2.94157021679473,2.94274473246144,2.93933749534235,3.03419934106934,3.00133642295198,3.22212195644763,3.1341007217104,3.14196961975505,1.76386541629866,2.28425746404111,2.1425836020703,2.27345544474261,2.64406019448405,2.59948472602639,2.77099050084946,2.9618953151966,2.97478764250165,2.99048743815524,2.98613624103926,2.92492732676782,2.92751429100295
"422",3.09012675073911,3.09522903742269,3.05523211730591,3.13390607331918,3.0029726735359,2.91472066609062,2.88219025706562,2.88831552195607,2.8742495446102,2.96666349301702,2.93929248259479,3.14887929602383,3.06662225450037,3.07702291741916,1.7404770004527,2.28957445842291,2.15215055838181,2.28389447464747,2.63322944776202,2.59197180538533,2.74642997983009,2.91769285288163,2.93406526323464,2.95044189644228,2.94325879466028,2.88768465517668,2.88854578545063
"424",3.03048947919481,3.03893909082742,2.99927956341302,3.07067944449583,2.94404129342352,2.85921399426348,2.8289707693645,2.84215217762969,2.81851209597093,2.90808740908074,2.88050286217461,3.08280109383227,3.00692263629456,3.01762758422446,1.7177708558901,2.30038789578615,2.16784558499741,2.29693496133755,2.62663590571455,2.58667935136672,2.72244268416819,2.87862172199356,2.90082467977203,2.91578500996919,2.9099689186097,2.85183929049909,2.85420235499578
"426",2.95964631474532,2.96993891933737,2.93535729658776,2.99508466823226,2.87730984253738,2.79533265270708,2.76394317939606,2.78540942870105,2.75196031968708,2.83927621549338,2.81197571827663,3.00537587864539,2.93826883887591,2.94931417583474,1.67089836498819,2.29799166759097,2.17077568707752,2.29855079818135,2.60628218180443,2.57440598461255,2.69031883008126,2.83289458085487,2.85566945267217,2.8686792463489,2.86398623385017,2.80773929146234,2.80931977925594
"428",2.88589593101128,2.89661848582104,2.86939887258553,2.91543518022278,2.80917376915092,2.72879687808402,2.69694446993897,2.72507583612165,2.68314925264976,2.76786727516272,2.74198451150934,2.92433726715964,2.86628594612208,2.87878591125059,1.61457797983838,2.28852386511755,2.16628723815691,2.29608663365043,2.58151127060583,2.55792654064622,2.65619379599209,2.78370543936029,2.80412500640052,2.81613828131742,2.81117690741426,2.76022185874288,2.75993993092291
"430",2.81381067992027,2.82413039435789,2.8041561337394,2.83649858093925,2.74275042485221,2.66383589664709,2.63379855354877,2.66651753190908,2.61824946931714,2.69870614048769,2.67507022153137,2.84431936547692,2.79505141278408,2.80921579603554,1.56033747039985,2.2794557146889,2.16183398651942,2.29603031065101,2.55953608519457,2.54064560737189,2.6235410481766,2.73391924441027,2.75205454587663,2.76325123857005,2.7578137564579,2.71250383238384,2.71114365442538
"432",2.74618882337015,2.75579068522816,2.7416008869496,2.76110028084055,2.68043289279201,2.60428659478023,2.57736123869711,2.61317686616231,2.56113457542548,2.635153626992,2.61438032619234,2.76864649503322,2.72819583551109,2.74285136245788,1.51377197094167,2.27355029006291,2.16021942908776,2.29909892358695,2.54154559635193,2.52431519725414,2.59341226131422,2.68628202930676,2.70330847540881,2.71258633007973,2.70779668245588,2.66706171456007,2.66601587400476
"434",2.68101454878223,2.68970508472849,2.68001861628225,2.68712928399396,2.62067605582079,2.54985836410513,2.52577979569627,2.56395830905471,2.51048908114631,2.57620708346758,2.55870723647401,2.69539751863014,2.66461640325318,2.67799764811082,1.47499976615542,2.26996483156472,2.16082023505804,2.30281877584691,2.52419800580399,2.50846406198377,2.56400089751124,2.64013709784683,2.65671345182646,2.66256450517728,2.65987250167816,2.62320645479697,2.62323644536999
"436",2.61446570647208,2.6217241454835,2.61626891753898,2.61095102905532,2.56043751821613,2.49830831266842,2.47618166037596,2.51603146320434,2.4631482369719,2.51944196808421,2.50533070812392,2.62043309132892,2.6007736263405,2.61147841796741,1.44344702064704,2.26715677908088,2.16240913649616,2.3048755514605,2.50377122815645,2.49173304507583,2.5328638577181,2.592812570035,2.6085234469793,2.61020044414371,2.61033180627849,2.57869600151927,2.57953047393003
"438",2.5438539067581,2.54866460968296,2.5481584380149,2.53057188328989,2.49778303594267,2.44786573015124,2.4273145505256,2.46739965235269,2.41696268928206,2.4635074601189,2.45260886412017,2.54074649841793,2.53368357961595,2.54112354609242,1.42016779061419,2.26457108802108,2.16478162725401,2.30464135602889,2.47867085897467,2.4731068387165,2.49852985265356,2.54179190525174,2.55539919617603,2.55350298227169,2.55600093212466,2.53163553033408,2.53228926995547
