"Band","mPeuk","mPro_border","mPro_gyre","mSyn","sdPeuk","sdPro_border","sdPro_gyre","sdSyn"
"420",1.50084975943737,1.61757150663757,1.98018752288492,1.44158821193905,0.229773732401748,0.0514347614318769,0.0673581622278735,0.0397495624821157
"422",1.48512960309767,1.61765618457927,1.95941066418725,1.41381353620332,0.185169606276945,0.0430931213867559,0.0665323968291279,0.0251616750178192
"424",1.45437016454136,1.59999021337541,1.91832070667499,1.3962272300029,0.173583500744382,0.0381811842837267,0.0626486915363473,0.00348296459442491
"426",1.39928390153328,1.58225190544303,1.8758109512353,1.37474084110843,0.155618868112096,0.0371693646490817,0.0602429568169218,0.00475567513557733
"428",1.36131646023676,1.57037901006393,1.8413266361937,1.34796594799493,0.146859574339221,0.034955990610017,0.0566007115290058,0.0135722569334925
"430",1.34230261162895,1.55982724786511,1.80935456169769,1.31313326691306,0.153559118158367,0.0304964859862011,0.0506567422073306,0.014688222293859
"432",1.31996866779618,1.54395324857161,1.77172609358647,1.26827267508508,0.157781335167408,0.0259470126722716,0.0438972281719383,0.00548774388201285
"434",1.27425607520764,1.51818208032308,1.72224390218672,1.21407218612296,0.146332080080923,0.0235256478583849,0.038464290552597,0.0068543701417317
"436",1.20341737705551,1.48166904532801,1.65925863890997,1.15507392278814,0.121354916962083,0.0228383858414113,0.0358462985642874,0.0133945375210254
"438",1.12307199636126,1.43686479691524,1.5854539670005,1.0990326671823,0.0927987199795793,0.0213362105500824,0.0361730829921143,0.00950606193284829
"440",1.05350102738089,1.38723821546295,1.50478362479029,1.0531895589434,0.068240690645996,0.0172541840711532,0.0379859911683359,0.00272383761277858
"442",1.00715537630411,1.33563589345929,1.4205567646645,1.02146205046047,0.0489782604607925,0.0110630113516929,0.039285712168959,0.016237821036642
"444",0.982625515404664,1.28356862448572,1.3347623885336,1.00288585295413,0.0356546961746777,0.00551046469914348,0.0387737146247966,0.0230203162033898
"446",0.965805298367834,1.23194270524776,1.24886415459962,0.993067473426755,0.0304580528593963,0.0045988926333873,0.0358732196087507,0.0162354183527469
"448",0.943099771256095,1.18027770595634,1.16445026539387,0.98231451548344,0.0267356764012472,0.00459982800385714,0.0324474006669172,0.00175350546367824
"450",0.905810902556045,1.13069537308645,1.0866056105521,0.964559618221118,0.0133209602544587,0.00342332828780131,0.0283013579494747,0.0138085489569551
