"band","Ehux","Pela","Pro_","Syn_","Tetr","Thal"
"c402","0.117705565841082","0.183747854047738","0.0136769395832229","0.0621671965352387","0.113120674846723","0.211156855501804"
"c404","0.116580536758366","0.181488598989416","0.0136824118498081","0.0611407408183512","0.111417118863059","0.206598964588822"
"c406","0.11545550767565","0.179229343931094","0.0136878841163933","0.0601142851014638","0.109713562879395","0.202041073675841"
"c408","0.114457092117401","0.176925747018805","0.0136628432149285","0.0590531159168006","0.108674656288454","0.199462600288275"
"c410","0.113472744728537","0.174617223233853","0.013634411961458","0.0579880896801623","0.107709599630038","0.19710406218131"
"c412","0.111924688626121","0.171934265867035","0.0135626870952298","0.0568164615252427","0.10647702564579","0.194080378827771"
"c414","0.110073097062563","0.169049690417674","0.0134676502836705","0.0555874323374022","0.105100403870708","0.190698540341462"
"c416","0.108515802144781","0.166381760173412","0.0133851512992234","0.0544337163178603","0.10367965672659","0.187376340594151"
"c418","0.107318203127391","0.16397861851316","0.0133179763256911","0.0533720497262388","0.102204978575875","0.184127032638949"
"c420","0.106114901625666","0.161624403875167","0.0132642669340734","0.0523486275811784","0.100777566254636","0.180998405212809"
"c422","0.104860277764919","0.159710532437509","0.0133317477796868","0.0516694054551668","0.099775546398688","0.178955902548226"
"c424","0.103605653904171","0.157796660999851","0.0133992286253001","0.0509901833291552","0.0987735265427399","0.176913399883643"
"c426","0.102429871482403","0.155856504469693","0.0134206080269616","0.0501799837259825","0.0976442876894101","0.174259729423588"
"c428","0.101296542143161","0.153902194428189","0.0134171635741874","0.0492992577889538","0.0964465462990287","0.171276968612125"
"c430","0.10019957006295","0.152023752787709","0.0134322009788843","0.0485001166892872","0.0953258848453515","0.1686083347961"
"c432","0.0992116697598289","0.150372916350302","0.0135026839559946","0.0479457301017072","0.0944364632017869","0.166882081966393"
"c434","0.0982237694567081","0.148722079912895","0.0135731669331048","0.0473913435141271","0.0935470415582224","0.165155829136685"
"c436","0.0972467207479796","0.146841542229318","0.0135435196999563","0.0465708739539614","0.0922313129870506","0.162427143128073"
"c438","0.096270243175798","0.14494891500647","0.0135086024557415","0.0457364000268175","0.0908931472091626","0.159645697478467"
"c440","0.0953524385894223","0.14320372527251","0.0135490058179733","0.0450168546437755","0.0898349627119508","0.157589689181752"
